,지역,시군구,제목,모집기관,봉사기간
0,광주광역시,동구,2019 광주광역시 마음돌봄 어울마당 자원봉사자 모집,광주광역정신건강증진센터,2019-09-05 ~ 2019-09-05
1,광주광역시,동구,월드비전 사랑의도시락에서 따뜻한 식사 한끼를 만드실 자원봉사자분들을 모십니다.,월드비전사랑의도시락나눔의집,2019-05-27 ~ 2019-08-27
2,광주광역시,동구,그림이 있는 작은도서관 업무지원,그림이있는작은도서관,2019-08-19 ~ 2019-08-30
3,광주광역시,동구,[대한안전연합] 환경정리 지원 봉사,사단법인대한안전연합,2019-08-05 ~ 2019-08-30
4,광주광역시,동구,원내 생활편의 지원,노벨요양병원,2019-06-01 ~ 2019-08-31
5,광주광역시,동구,"강남요양병원/이.미용서비스,재능기부,프로그램보조,주변정리,말벗,기타",강남요양병원,2019-06-06 ~ 2019-09-05
6,광주광역시,동구,제16회 충장축제 자원봉사자 모집,광주광역시 동구,2019-10-02 ~ 2019-10-06
7,광주광역시,동구,제16회 충장축제 자원봉사자 모집,광주광역시 동구,2019-10-02 ~ 2019-10-06
8,광주광역시,동구,"빛나는 거리, 예술로 궁동 행사지원","빛나는 거리, 예술로 궁동 사업단",2019-08-10 ~ 2019-10-26
9,광주광역시,동구,우제길 미술관 환경정리 및 자료정리 자원봉사,우제길미술관,2019-07-30 ~ 2019-10-30
0,광주광역시,동구,드영미술관 봉사활동,드영미술관,2019-09-01 ~ 2019-11-30
